Column1,Class
"  ""Too many open files"" causing error in core tests",L2
  Intermittent assertion failures in profile1.js and profile4.js in small oplog mode,L2
  Uncaught exception in profile1.js,L2
  MapViewOfFile failed - Not enough storage is available to process this command,L2
  Broken pipe during push to S3,L2
  array element selection syntax returns wrong result,L2
  performance regression with many indexes and few results,L2
  initial sync fails to create index on capped collection,L2
"  ""point not in interval"" error in geo_polygon2.js",L2
  Random seed based tests are not deterministic on windows,L2
  fassert() failure in dumprestore10.js,L2
"  ""assert failed : No data on shard"" in dumprestore9.js",L2
"  mongofiles fails with ""assertion: 9008 filemd5 failed""",L2
  Windows 2008+ 2.0 build failing text.exe with access violation,L2
  warning: dereferencing type-punned pointer will break strict-aliasing rules,L2
  nscannedObjcts in explain shouldn't count things where covered index worked,L2
  migrations should use better slave count to determine up-to-date,L2
  _id query on capped collection warning can be printed incorrectly,L2
  don't create field range for $atomic,L2
  negative count limit brackets result to 0,L2
  Map/Reduce operation writes output data in primary node of replica set but not in secondary nodes,L2
  initial_sync3.js failing on V8 build,L2
  ReplicaSetMonitor::notifySlaveFailure not thread safe,L2
  mrShardedOutput.js looping forever on OS X,L2
  range query on shard key incorrectly sends query to extra shard(s),L2
  balancer did not remove chunk from old shard,L2
  update with positional operator does not validate existence of a positional match,L2
  $showDiskLoc does not work with covered indexes in get more,L2
  sporadic failure in profile1.js test,L2
"  js increment operators (ob.prop += ob2.prop) do not work, after assigment like this ob = ob2",L2
"  unable to start mongod give exception in initAndListen: 13536 journal version number mismatch 0, terminatin.",L2
"  MongoDB Server(ReplicaSet Secondary) remains in state 3(Recovering) after runCommand(""compact"") on a nonexisting collection.",L2
  bigMapReduce.js failing (post dur changes),L2
  db.group fails on a certain dataset,L2
  Killing mongod during a repair can leave it unable to start up,L2
  balancer uses shardConnection to get config information,L2
  _balancedLastTime not reset when we have no chunks to balance,L2
"  high CPU usage, low disk IO, very slow response",L2
  Solaris can't push,L2
  features3.js fails on countWriteBacks,L2
  reconfig.js fails on mismatched error messages,L2
  mongos does not send reads to secondaries after replica restart when using keyFiles,L2
  mongos does not allow new connections for 30 seconds->a couple minutes when an rs member goes down,L2
  segfault in memory.js/,L2
  can't find files on Windows build,L2
  Uncaught exception in shard_insert_getlasterror_w2.js,L2
  cleanbb.py failing on builds with python < 2.5,L2
  repairDatabase should fail due to killOp in repair5.js,L2
  some large compound $in sets won't trigger assertion due to integer overflow,L2
"  js increment operators (ob.prop += ob2.prop) do not work, after assigment like this ob = ob2.pop()",L2
  js add property do not work at emit(),L2
  High number of commands on replica set members in authenticated sharded setup,L2
  Make flushRouterConfig reload chunk size setting,L2
  double counting data during chunk migrations,L2
  assertion 10085 can't map file memory ns:CrawlQueue.system.namespaces query:{},L2
  count8.js failing on Nightly RHEL build,L2
  Intermittent failure with array ordering on drop_dups.js,L2
  Unable to initialize cursor across all shards in sharding_multiple_ns_rs.js,L2
  Stale config and unable to move chunks,L2
  IPv6 address ambiguity in HostPort syntax,L2
  mongod config server  go in hang state,L2
  Segmentation fault. Invalid access at address,L2
  fd leak from opened and unclosed conns in webServerThread,L2
  ClientCursor::staticYield could deadlock,L2
  Assertion failed in cursor2.js,L2
  Intermittent failure to remove local db in remove1.js,L2
  can't build clientBuild,L2
  Assertion: 10334:Invalid BSONObj error when doing Map/Reduce,L2
  jstests/sharding/remove1.js failed on Linux 64 dur off,L2
  can leak small extents after a drop(),L2
  Crash during map reduce with lots of queued reads,L2
  Uncaught exception in slavedelay3.js,L2
  Get rid of long oplog pulls in the log,L2
  Mongos signal 11 crash when trying to process a writeback of a dropped collection,L2
  query on undefined field matches empty array,L2
  array access attempt after a find failure puts shell in an unusable state,L2
  Aggregation should filter out docs not belonging to current shard.,L2
"  implement thread safety for shell utils, using fine grained locking",L2
  Mongod crash,L2
  Balancer delay doesn't really delay very well,L2
  Changes to benchrun causing failure in bench_test1.js,L2
  Changes to unittest framework breaking windows build,L2
  logpath.js failing on sharding_passthrough,L2
  bench_test3.js failing on dur_passthrough,L2
  dumprestore9.js failing on v8 build,L2
  currentop.js failing on linux 64-bit DUR OFF build,L2
  don't swallow exception in DBClientReplicaSet::connect(),L2
  All capped collections are implicitly limited to 2^31 - 1 documents,L2
  Concurrency build hanging on background.js,L2
  Windows 32-bit build failing,L2
  All the connections were filled up after an assertion occurred.  Had to reboot Mongo to be able to reconnect to the server.s,L2
  Data not balanced accross all the shards ,L2
  SCons pushes cxx-driver tarball to wrong location in S3,L2
"  Write ""db level locking enabled: %u"" to stderr instead of stdout",L2
  fsync and lock on a Secondary causes the shell to freeze/hang - worse with auth enabled,L2
  2.0/2.1 sharded mapReduce compatibility,L2
  Replica set member behind NAT stopped joining after uprade,L2
"  legacy (2.0) staleconfigexceptions can be thrown w/o namespace, 2.1 needs to handle",L2
  Race during static destruction of CommitJob object,L2
  DurableImpl::commitIfNeeded and  dur.cpp's _groupCommit are not sufficiently aggressive,L2
  stale_clustered.js failed in replset test suite on 2.0 branch,L2
  remove1.js failing on Windows 32-bit,L2
  conc_update.js failure in slow weekly concurrency tests,L2
  query_yield1.js failing during slow weekly tests,L2
  indexbg1.js failing because unable to run checks in parallel with index creation,L2
  adding an index while an update operation yields can result in incorrect index key entries,L2
  don't call async signal unsafe functions in signal handlers,L2
  Sharded GLE doesn't require auth,L2
  Error 8070 should be an massert not a uassert,L2
  abruptQuit should use _exit,L2
  capped5.js failing on dur_passthrough,L2
  objid6.js failing on dur_passthrough,L2
  Killing of 'count' query cause incorrect behavior,L2
  Issue when using spatial query within filter using $and,L2
  assert failed in threadedtests.cpp of concurrency build,L2
"  assertion when clearing the query pattern for an unsatisfiable query (2.0 only, already fixed in 2.1)",L2
"  ""this.awaitOk is not a function"" error from ReplSetTest.awaitRSClientHosts",L2
  Possible memory leak in Linux 64-bit server,L2
  missed check of node index when initializing replica set with host down,L2
  Windows implementation of toWideString in text.cpp is incorrect.,L2
"  Run command  on mongos> db.stats()  get error  ""assertion"" : ""assertion s/../util/net/../../db/../bson/bsonobjbuilder.h:127"",  ""errmsg"" : ""db assertion failure"",  ""ok"" : 0",L2
"  Run command on mongos> db.stats() get error """"         ""assertion"" : ""assertion s/../util/net/../../db/../bson/bsonobjbuilder.h:127"",         ""errmsg"" : ""db assertion failure"",         ""ok"" : 0 ",L2
  Client cursor yielding assertion in geo_box1.js,L2
  Pre-Epoch dates in v0 indexes cannot be found in 2.0.x-series servers,L2
  Insert on capped collection fails silently when too large,L2
"  shell transmits batchSize parameter as options parameter (2.0 only, fixed in 2.1)",L2
  segfault in distinct3.js,L2
  Possible for empty replica set string to be created if all seed down,L2
  Capped collections indexex can grow with no limit.,L2
  SOLARIS :Invalid BSONObj size: -286331154 (0xEEEEEEEE) first element: EOO,L2
  access violation in rollback4.js,L2
  mongos does not respect notimeout for cursors,L2
  New sharded connections to a namespace trigger setShardVersion on all shards,L2
  mongodb hangs when doing mapreduce,L2
"  mongos unable to start give error ""differconfig servers not in sync! config servers "".",L2
  Still getting error [DataFileSync] FlushViewOfFile failed 33 file: /data/db/load_test.4,L2
  Atomic Integer Implementations Not Compatible with Very Old Processors,L2
  --profile option doesn't create the system.profile collection if it doesn't already exist,L2
  Auto-updating shards collection for changes in replica set is broken for user relying on DNS. ,L2
  Initial sync of capped collection does not create _id index,L2
  assertion in auth/auth1.js,L2
  assertion in replsets/fastsync.js,L2
  Private pages accumulate in Windows RAM and page file when journaling,L2
  count command does not check chunk ranges,L2
  Assertion: 10422:write with bad shard config and no server id,L2
  externally preallocated data files may be ignored when allocating extents ,L2
  Natural Sort ignores Index,L2
  Updates with $ sign in key name fail,L2
  uncaught exception in sharding_cursors1.js on slowNightly tests,L2
  assert in mongos_no_detect_sharding.js on 2.0 branch,L2
  10071 error on invocation of $where in killop.js on 2.0 branch,L2
  repl13.js failing on Windows 64-bit,L2
"  unable to start mongod give exception in initAndListen: 10079 bad .ns file length, cannot open database, terminating",L2
  index1.js failing on Windows 32-bit,L2
"  The string ""return,"" passed as a parameter to MongoDB function calls, causes Javascript to return",L2
  renameCollection replication is not always idempotent,L2
  Auth failed on sharding,L2
"  ""assert failed : reconfig worked"" in fastsync.js",L2
  replication should stop on inShutdown,L2
  authentication fails when local or admin are locked in auth1.js,L2
  Can't  shutdown mongodb,L2
  Secondaries continue synchingTo unresponsive replica set member,L2
  Code and CodeWScope should be able to pass through aggregation,L2
  GridFS::setChunkSize rejects all sizes but 0,L2
  dbtemprelease's destructor can fail to restore state and assert on failure,L2
  Regular Expression Query Limitations,L2
  index bounds may be incorrectly determined for $not:$elemMatch queries,L2
"  nested $elemMatch queries are not handled in queryutil, trigger ""warning: shouldn't get here?"" log message",L2
  bigMapReduce.js failing b/c of migrate deletion during m/r,L2
  DBDirectClient count() should not return 0 when failing,L2
  profiling shows queries during round about 1271303044 ms (more than 14 days),L2
  Wrong initialization for ReplicaSetMonitor Nodes,L2
  updates need better handling of version changes (sharding_balance4.js failure),L2
  assert in server5012.js,L2
  query yielding with frequent migrations can cause repeated stale config,L2
  Assertion failures when a sharded collection is dropped and sharded again and reused.,L2
  Initial sync assertion error with 2.0.5-rc0,L2
  Invalid BSONObj size: ... 0xEEEEEEEE when deleting,L2
  tags.js failing on 2.0 branch,L2
  Collections remaining with different hashes at end of small oplog tests,L2
  conversions to dates don't accept constant arguments,L2
  Multi-line mode in the shell went away,L2
  assert in query_yield2.js,L2
  Javascript Date.getDate() does timezone conversion to server's local timezone,L2
  index-only query apparently not executed as index-only,L2
  mongorestore from a secondary breaks replication,L2
  balancer isOverlapping() check is failing,L2
  explain() shows non complete plan for sharded query when using compound key,L2
  primary stepdown on reconfig isn't needed in some cases,L2
  SConstruct failing to find os.environ['HOME'],L2
  connection pools in mongos and mongod don't check idle connections until used,L2
  Very Poor Performances,L2
  Uncaught exception in count_slaveok.js,L2
  isOverlapping assertion failure during balancing,L2
  uncaught exception building index on empty collection in shard_keycount.js,L2
  killop.js test not finding correct number of ops in 2.0 branch,L2
  stackchecker broke test on Linux 32-bit,L2
  Fatal Assertion 16213 in fsync.js,L2
  Mongo Segfaults When Assigning Elastic IP to Running Server,L2
  Query doesn't process correctly advanced queries on Multikeys index,L2
  init: mongodb main process terminated with status 100 when space is running low,L2
  scons error in 32-bit RHEL build,L2
  reduce in map reduce doesn't run with only one input document,L2
  failed tests should detect test file move/delete,L2
"  ""No module named hashlib"" in utils.py",L2
  Creating an index using a non-existing plugin should be an error not a warning,L2
  error querying server in stale_clustered.js,L2
  server stops processing requests during periodic flush,L2
  Segfault caused by setFunction(),L2
  mongo crash,L2
  failed to create new data node: Got signal: 7 (Bus error),L2
"  ""uncaught exception: nothing in prog"" in query_yield1.js in slowWeekly",L2
  coverity audit,L2
  Exceptions thrown in scripting/engine_spidermonkey.cpp need to be handled there,L2
  Possible memory leak in Spider Monkey,L2
  mongos cursors return the wrong value for startingFrom,L2
  Signal 7 Bus Error on Secondaries,L2
  freebsd 64-bit backtrace segfaults,L2
  db.eval('db.fsyncLock()') hangs mongod,L2
  Special index types including hashed indexes not always used when they should be,L2
"  moveChunk fails with ""couldn't find chunk"" after moving from one shard to another repeatedly",L2
  Cannot use SRWLocks on Windows Server 2003,L2
"  ""Group"" functionality issued under 'cmd' gives different results than if issued from shell",L2
  user authentication should retry on primary,L2
"  Server replication ""hung""",L2
  One of the shards is taking more data than others ,L2
  uncaught exception with user 'bar' not found in sharding tests,L2
  duplicate key error in replset7.js,L2
  uncaught exception: [Finding master] timed out,L2
  center query update asserting in geo_full.js,L2
"  initial_sync3.js bb failure with ""not master""",L2
  HTTP Digest authentication doesn't work with Internet Explorer,L2
  autoIndexId:true creates a non-unique index on _id,L2
  auth.js times out waiting for user authentication to replicate,L2
  Server removed from replica set in sharded cluster is not fully removed,L2
  uncaught exception in mr_shard_version.js,L2
  Shutting down then restarting shard can crash mongos,L2
  Assertion failure p db\mongommf.cpp 198 - MapViewOfFileEx failed F:/data/xq.2 errno:487 Attempt to access invalid address,L2
"  renameCollection op is blocking, and killOp does not kill",L2
  slow sharding already existed collections,L2
  Polygon search misses points on some edges,L2
  invalid memory writes in sharding test suite,L2
  bad reload of database config ,L2
  Implicit yield reporting in MultiCursor::recoverFromYield() can overstate the yield count if the cursor's current() document is deleted during a yield.,L2
  mr_killop failing with authentication,L2
  Segfault when procesing a command with empty namespace,L2
  assertion (fassert) may be triggered by exact match geo lookup with $or,L2
  error in remove1.js,L2
  benchRun unable to find all config servers during mr_during_migrate.js,L2
  assert failed : reconfig worked in fastsync.js,L2
  Reconfiguring replica set doesn't work sometimes,L2
  replSet member can fall out of RECOVERING back into SECONDARY even if no other node in the set can be authenticated against.,L2
  Updates can be lost when issued near the time of migration,L2
  assert in repl13.js,L2
  $push array size constraint can cause incorrect replication of another field during initial sync,L2
"  ""TypeError: result.remaining has no properties"" in auth_add_shard.js",L2
  exception cloning object in replset7.js,L2
  invoke failed in evald.js,L2
  mongos crashes with signal 8 when attempting to shardCollection with a huge chunkSize setting,L2
"  unhandled exception: boost::filesystem::create_directory: Permission denied: ""/data/shardA""",L2
"  geo_update_btree.js never completes, in debug mode only",L2
"  ""Permission denied"" in drop_configdb.js",L2
  QueryOptimizerCursorTests core test failure in Linux debug mode,L2
  replication timeout in replsets_priority1.js,L2
  Aggregation $sort should correctly handle dates before 1970,L2
  distinct returns duplicate values,L2
"  $rename unsets target field x, if multiple renames are specified where at least x has no source",L2
  Memory problem on linux/debian server,L2
  fsync deadlock issues,L2
  doc_mem_monitor malfunction on Darwin,L2
  where3.js leaving collections on slave at end of test in 2.0 branch,L2
  $project does not allow creation of a new field with literal value,L2
  fsync_lock_read_secondaries.js fails on sharding_passthrough,L2
  Server created 30GB files after restart in one minute interval,L2
  capped collection has different hash on master/slave at end of where4.js,L2
  renameCollection creates an empty collection when run from a script ,L2
  page fault exception in ClientCursor::aboutToDelete() can leave another Cursor / ClientCursor in an inconsistent state,L2
  key matching is not handled properly for the $elemMatch operator,L2
  Query on same field with $gt/$gte and $lt/$lte ignores one end of the range,L2
  Query optimizer failure in core tests on linux 32-bit debug,L2
  Intensive reading/writing causes reader/writer starvation,L2
  moveChunk fails with migration already in progress,L2
"  using sort() with batchSize() never returns an active cursor, therefore incomplete resultsets can be returned",L2
  Exception in MongoMutexTest,L2
  Need to make more constructors not access data ,L2
  test failure in cursora.js,L2
  Primary failed - secondaries would not take over,L2
  Adding member to replica set with down member causes stepDown,L2
  Windows service fails to start,L2
"  OS X failing to build with ""invalid character '%' in mnemonic"" on atomic_word_test",L2
  Get rid of stringToNum in mongo/bson/util/misc.h,L2
  exception caught in FileAllocator on Windows,L2
"  ""not enough storage is available"" for MapViewOfFileEx",L2
  aggregate cmd crashes server with empty pipeline argument,L2
  --install on Windows uses working directory instead of path to mongod to install Windows service,L2
  query safety with PageFaultException,L2
"  Derived types, and types with constructors, destructors or virtual methods are not POD in C++",L2
  ReplSetConfig::operator== may incorrectly return true if two instances differ only in the value of buildIndexes.,L2
  Null pointer dereference segfault in mongo shell,L2
  mongoutils::str::stripTrailing accesses invalid iterators,L2
  Init-script ignores mongodb.conf dbpath and logpath settings,L2
"  Debian/Ubuntu packages use ""mongodb"", Redhat/Fedora packages use ""mongod""",L2
  MongoDump fails with a strange error,L2
  freebsd really slow in external sort,L2
  Use command on local.slaves instead of cursor,L2
  WIndows service installation hits assertion failure in src\mongo\db\client.h(262),L2
  Accessing array elements by position fails in $project,L2
  Querying count on non-existent table returns 0 instead of error,L2
"  ""process cannot access the file"" in remove2.js",L2
  Unicode/UTF-8 in the shell needs to handle zero-width and double-width characters,L2
  FreeBSD fails jstests/slowNightly/geo_polygon.js,L2
  balancer error in mrShardedOutput.js,L2
  uncaught exception in auth_add_shard.js,L2
  Uncaught exception in sync_passive2.js,L2
  chunks not balanced at end of no_balance_collection.js,L2
"  sharding/remove2.js has cleanup issues at end of test, fails on Linux but blows up test on Windows",L2
  unique indexes and sharding.,L2
  C + + driver error or mongodb error,L2
  Error when bootstrapping 2.1.x with auth from localhost   ,L2
  test failure in counttests.cpp,L2
  Dropping sharded collection and recreating it confuses mongos,L2
  mongos crashes on startup,L2
"  Build fails with ""Implicit dependency not found""",L2
  Windows compile failing with unresolved external symbols,L2
  final migration can interfere with removal of database on draining shard,L2
  buildbot zbigMapReduce.js counts failing in mapreduce,L2
  SlaveOk Query fails with auth error even after logging in,L2
  aggregation returns incorrect results for sharded sorts,L2
  aggregation holds read lock indefinitely without yielding after initial processing of first sort or group stage,L2
  Process taking too long to kill in features3.js,L2
  Replication timeout in moveprimary-replset.js,L2
  a failure inside MakeChunkWritable should call abort/fassert instead of assert,L2
  flushing connection pool can leak connections,L2
  Initial sync on new Replicaset member is connecting to Primary node when there are secondaries available,L2
"  When disk is full on any secondary, the whole set of secondaries freezes until the full node is stopped",L2
  sharded aggregation explain failure,L2
  verify assertion on attempt to perform date extraction from missing or null value,L2
  Aggregation should error out on divide or mod by zero,L2
  aggregation $ne expression applied to constant returns incorrect result,L2
  aggregation $ne expression applied to constant returns incorrect result,L2
  $isoDate cannot be created with field values other than 0 and 1,L2
  mongos crashed : corrupted unsorted chunks,L2
  mongooplog --help is wrong,L2
  failure in authCommands2,L2
  stale config server in sort1.js,L2
  _unindex failed: bad offset:0 for local db file during rollback,L2
  Windows builds link client examples against previous mongoclient.lib,L2
  TypeError in replsets/auth1.js,L2
  BSONObjExternalSorter can consume 16TB of heap space,L2
  backport of targeted shard ranges instead of broadcast on all queries,L2
  connection logging sometimes has no numbers,L2
  use of an integer valued double with a $mod expression can produce an incorrect result,L2
  very verbose messaging with large numbers of collections,L2
  Memory leak in BSONIteratorSorted,L2
"  ""invalid property id"" when using $or in mapreduce",L2
  Mongoimport unable to load Date before epoch,L2
  Timing error on dropOp() in drop2.js,L2
  Differences in db.<collection>.drop() and db.<collection>.remove({}),L2
  verify assertion when parent of an inclusion field is an operator expression,L2
  Cannot use mongos if subset of config servers can't read from or write to disk,L2
  Sharded aggregation can't handle multiple $group commands,L2
  combining field exclusion with operator expression can produce a result with duplicate field names that is incorrect,L2
  attempt to $project a computed _id field results in a document with two duplicate (wrong) _id values,L2
  verify assertion on attempt to include a subfield within a non object array element,L2
  Nested $add operators may be improperly reordered by constant folding implementation,L2
"  $group aggregate field names can contain dots, may cause problems with sharding",L2
  some $or queries not optimized properly,L2
  Windows version of printStackTrace is not thread-safe,L2
  ttl seg fault,L2
  mongos 'corrupted double-linked list' during shard rebalancing,L2
  Failed to apply an update with multiple conditions in an array,L2
  Failed to apply an update with multiple conditions in an array,L2
  Race condition where member gets stuck in startup and doesn't sync,L2
  Reproducible segfault with aggregation framework query,L2
  _id strangeness on sharded collection,L2
  findAndModify return value inconsistent between 2.0.x and 2.1.2 when using upsert,L2
  intermittent connection refused errors in app opening new connections,L2
  os x - startup warning - maxproc - hard limit of 1024,L2
  seg fault when providing an empty object as an expression argument,L2
  Aggregation shouldn't allow creating fields with a $ prefix,L2
  Test breaks in 2.1.2 but passes in 2.1.1,L2
  Mongo shell in Windows doesn't display Unicode when console is set to Terminal font,L2
  Assertion Error:  bsonobjbuilder.h:127,L2
"  mongod is no longer running, ""terminate called()"" error",L2
  no mongoclient target as described in docs/building.md,L2
  sort1.js failed in debug testing,L2
  Operator $or doesn't work,L2
"  Debug assertion in Windows debug build, bad code in any build, due to incorrect lock usage",L2
  FindAndModify throw exception if new:true is set,L2
  Can't $project into _id,L2
  mongotop reports different lock times with --locks than without,L2
  DocumentSourceUnwind does not implement the DocumentSource iterator interface correctly,L2
  attempt to return an aggregation result that is too large results in double exceptions and terminate() aborting mongod,L2
  $avg assume 0 for undefined,L2
  number of updated docs may be wrong,L2
  Shards: getLastError waits 1 second to respond after insert with invalid shard key,L2
  aggregate $cmp cannot be used with values of different numeric types,L2
  $where is broken in 2.1.2 findAndModify,L2
  Lock reporting in slow query log messages isn't reset after each operation,L2
  deadlock between db mutex and sm mutex,L2
  BackgroundJobTests failing on faster buildslaves,L2
  Socket Exception code 9001,L2
  Node 2 is master but attempts to replicate from Node 3,L2
  option to turn off splitVectors on particular mongoses,L2
  buildbot features3.js can't kill long-running $where op?,L2
  timeout waiting for replication in groupAndMapReduce.js,L2
  FlushViewOfFile failures can result in invalid journal on Windows,L2
  config server timeouts not used in all places,L2
  tagSet suite test failure on debug builds,L2
  GLE with auth failing in authCommands2.js,L2
  Socket exception in bad_config_load.js,L2
  Bad path to SSL key file or incorrect password causes: Assertion: 15868 :Can't read key file,L2
  Unbalanced read load on secondaries caused replRead.js in slowNightly to fail,L2
  ServerName incorrect when walking the MIB on Enterprise Build,L2
  Attempting to write to config or admin dbs while config server is down breaks authenticated clusters,L2
  Solaris core test failure,L2
  Can still perform unauthenticated queries after logging out on a replica set connection,L2
  Progress percent counter for index build displays bogus values (> 100%),L2
  ReplSet connections magically gets reauthenticated after logging out,L2
  aggregation framework: disallow $where in $match ,L2
"  TIME_UTC is a macro in C11, compilation of lines, containing boost::TIME_UTC will fail with glibc 2.16",L2
  Large number of databases causes seg fault in mongotop,L2
  indexes in sharding configuration,L2
  Test for grouping by tag fails in aggregation/testall.js,L2
  Timing error while testing replication of collection renaming,L2
  can't link --ssl on fedora,L2
"  Make mongostat adjust column width for variable length field ""db locks""",L2
  Subscription build failing to compile,L2
  mongoexport now outputs full strings in CSV mode,L2
  Chained replication is generating too many queries on middle servers,L2
  --noOptionsRestore flag has no affect on mongorestore,L2
  Windows build fails on jsobjtests,L2
  _testDistLockWithSyncCluster command fails in sync3.js in 2.0 branch,L2
  fassert identifier causes Windows 64bit 2008+ to fail compile in 2.0 branch,L2
  Uncaught exception in new auth_repl.js tests,L2
  Chained replication should check OplogReader's cursor before using it,L2
  chunk too big to move in authCommands2.js,L2
  smoke.py shouldn't kill a running build,L2
"  mongooplog arguments are unclearly documented, some irrelevant?",L2
  Yielding with one (or more) active writer and heavy read load results in severe performance degradation,L2
  journaling error view pointer cannot be resolved,L2
  Nightly solaris shell not working - spidermonkey error,L2
  moveChunk fails because metadata collection could not be locked,L2
  Cannot read from replset member in slavedelay1.js,L2
"  sharded indexes are queried via the db primary, which is not guaranteed to have the full set of collection indices",L2
  mongo shell segfaults at startup with V8 v3.12.10,L2
  duplicate _ids possible when values exceed max index key size,L2
  Linux_64bit_Subscription_Amazon_AMI_Nightly failing build with pymongo not found,L2
  use primarypreferred instead of slaveOk to retrieve auth data,L2
  Writeback fails within time allotted in sharding_cursors1.js,L2
  replication initial sync retry may abort,L2
"  Unrecognized command ""collMod"" in use_power_of_2.js",L2
  Couldn't start diff.exe on windows build machine,L2
  memory error in smoke test,L2
  Packages should set ulimit -u in init/startup scripts,L2
  when time (ticks) go backwards Timer overflows,L2
  Cursor iteration performance regression,L2
  illegal instruction following deep recursive comparison in external sorter when running repair.js after nestedobj1.js,L2
  TIME_UTC_ does not compile in C++ driver,L2
  weAreFreshest() can report all members are up if no targets are reported by rs.getTargets(),L2
  Errno:22 problem opening logfile using a config file,L2
  Invalid access at address: <hexaddr>; /usr/local/mongo/bin/mongod(_ZN5mongo15BSONObjIterator4nextEv+0x27) [0x51a6c7],L2
  Secondary syncing to hidden secondary,L2
  v2.0 build failing on push to s3,L2
  Uncaught exception in sharding_balance4.js,L2
  should $ifNull accept [] as null?,L2
  Issue connecting to mongod using C++ driver,L2
  Treat nested and dotted projections the same,L2
  aggregation converts regex values to strings in result set,L2
  Setting slaveDelay on a sync target should cause syncing members to find a new target. ,L2
  jstests/dur/closeall.js -- WindowsFlushable::flush triggers fassert after FlushViewOfFile fails with code 487 (ERROR_INVALID_ADDRESS),L2
  Invalid write to a deleted ClientCursor after yield recovery fails,L2
  Parallel test basicPlus.js failing,L2
  Windows debug build: warning: we think data is in ram but system says no,L2
  Inserting array values for shard key succeeds when shard key is _id and inserts garbage data,L2
  Inserting array value for non-shard-key field used in prefix shard key index succeeds,L2
  Inconsistent behavior with rs.add and rs.reconfigure,L2
  Authing a RO user against rs with no primary doesn't work,L2
"  mongoimport throwing ""read error, or input line too long (max length: 16777216)""",L2
  compact's external sorter should use the default index version key comparator,L2
  MongoDB on Windows failing because of lack of storage,L2
  mongostat lock% reports a number higher than (100% times number of cores),L2
  Resizing of _nodes and updating _master is not atomic in ReplicaSetMonitor,L2
  ignore SIGPIPE,L2
  $sum can cause int overflow,L2
  ReplicaSetMonitor::_checkConnection does not check upper bounds for the indexes,L2
"  scons --sharedclient mongoclient builds libmongoclient.a, no shared library build.",L2
  slaveok query can fail early without trying the other nodes,L2
  Not much logging in outgoing mongos codepath,L2
  No good nodes during call to say() in stale_clustered.js,L2
  Ironically Compaction makes our collection 10GB bigger !,L2
  RO auth doesn't work right after user is created,L2
  jstests/sharding/auth.js failing in debug Windows,L2
  disallow geo commands in aggregation,L2
  Add mongod.pdb to Windows .ZIP file,L2
  timeout waiting for replication in zbigMapReduce.js,L2
  Fatal Assertion 16397 on repl prefetch worker,L2
  socket exception in authcommands2.js,L2
  Replicaset stop replication,L2
  queueing writebacks register with lastError too early,L2
  query optimizer does not consider query plans for $and:[$or:[conditions]],L2
  Possible to bulk insert more than 16MB of docs but not possible to retry via WBL,L2
  Unsafe use of _master in ReplicaSetMonitor::_check() and ReplicaSetMonitor::check() can lead to segfault,L2
  The correct password may auth fail occasionally. ,L2
  db.currentOp() incorrectly reports insert secs_running as 1271310,L2
  $avg can miss results from shards that return double values,L2
  Windows stack trace prints nothing if stack frames exceed maxBackTraceFrames,L2
  Windows unhandled exception filter should print stack trace,L2
  aggregation Value does not handle string values with null characters properly,L2
  Link to SECURITY-1,L2
  mongodump query had different behavior if quotes are included,L2
  Do not use primary if secondaries are available for slaveOk,L2
  getlasterror returns incorrect n for admin db,L2
  queryOptimizerA fails on dur_passthrough,L2
  disallow $add with strings,L2
  Performance issue,L2
  Querying for $minKey/$maxKey returns all documents,L2
  Nondescript basicPlus.js failure in parallel test suite,L2
  capped collection _id index creation on secondaries not triggered by updates,L2
  Can still make mongod hang fsyncLock and authentication,L2
  mongos GLE needs to report errmsg when sub-GLE commands error on shard/shards,L2
  findandmodify doesn't set fields properly for getlasterror,L2
  findAndModify regression 2.0.x -> v2.2.0rc0 with positional updates,L2
"  Pretouch throws ""11000:E11000 duplicate key error index"" on every update",L2
  Localhost authentication exception doesn't work right on sharded cluster,L2
  Secondary Acceptable Latency Threshold on mongos and mongo should match the drivers and the spec. ,L2
  collection level userFlags not carried over across shards,L2
  crash on free of invalid pointer in shell parser,L2
  Performance -- remove remapLock code from Windows build,L2
  slaveOk reads are going to primary,L2
  TTL collections can get out of sync too easily during replica set maintenance ,L2
"  When matching multiple items in inner collections / document arrays, selecting with { 'innerCollection.$' : 1 } only returns the lastest of the matched element. ",L2
  Missing Aggregration Framework after upgrade from 2.0.4 --> 2.2.0 RC0,L2
  Invalid BSONObj Size,L2
  Mongodb crashes after server failure,L2
  could not insert into system.users in auth2.js,L2
  timing error in repl_monitor_stress.js,L2
  Read to invalid memory in Expression::parseOperand,L2
  zbigMapReduce.js replica set fassert 16397,L2
  mongooplog skips drop operations,L2
  Unable to change priority on replset member,L2
  mongodump --repair does not stop at extent boundaries,L2
  Replica set members create/hold first connection to themselves,L2
  getLastError to Mongos gives an empty errmsg field if it fails,L2
  QA-100 is failing ,L2
  Strings with NUL bytes don't round-trip correctly from BSON <-> JavaScript,L2
  Potential out of bounds access in ReplicaSetMonitor,L2
  memory leak on Matcher validation failure after _where allocated,L2
  'show collections' creates datafiles for empty databases when profile=1,L2
  Determine if a shard hitting its connection limit causes mongos crash in ReplicaSetMonitor::_checkConnection(),L2
  Memory Leak - SSL Enabled Build ,L2
  slaveOk reads are going to primary,L2
  findAndModify errors when upserting on non-existent document and original query can't find doc,L2
  mongos won't create a new connection to a replica set with the primary down,L2
